,text,label
127,"PILOT DEPARTED WITH INOPERATIVE RADIO, THEN UNABLE TO FIND DESTINATION  WHEN NEARLY OUT OF FUEL FOUND AN AIRPORT ",AU
128,aircraft BEING FERRIED FOR maintenance  SEAT RETAINERS MISSING,II
129,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE  NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT",II
130,FLIGHT HAD FILED IFR BUT TOOK OFF VFR  WAS CONSIDERED A RADIO FAILURE BY ATC  ALSO CARGO DOOR WAS OPENED ON TAKEOFF,II
131,PILOT REFUELED FROM A 55 GAL DRUM AND DID NOT CHECK FOR WATER  ENGINE QUIT ON TAKEOFF DUE TO WATER IN THE FUEL,II
132,STUDENT PILOT LOST POWER ON TAKEOFF DUE TO MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT OVERSHOT ON AIRPORT LANDING,II
133,STUDENT PILOT RAN OUT OF FUEL  IT IS LIKELY THAT THE FUEL DRAIN WAS RUNNING AND NOT DETECTED,II
134,FLIGHT RETURNED AFTER OIL LOSS  PILOT FAILED TO SECURE OIL STICK,II
135,RAN OFF SIDE OF RUNWAY AFTER LOOSE WHEEL FAIRING JAMMED TIRE ON TAKEOFF,II
136,"LEFT GEAR COLLAPSED ON ROLL OUT, HYDRAULIC SYSTEM LOW ON FLUID ",II
137,FORCED LANDING AFTER ENGINE QUIT  DRAINED WATER FROM FUEL TANK,II
138,GEAR RETRACTED ON TAKEOFF  FOUND FAULTY GEAR ACTUATOR SWITCH,AU
139,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION,II
140,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE  AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES ",II
141,UNABLE TO EXTEND NOSE GEAR BEFORE LANDING  GEAR WAS JAMMED DUE TO DEFLATED NOSE GEAR STRUT,II
142,FORCED LANDING AFTER POWER LOSS  HELICOPTER HAD BEEN SERVICED WITH JET FUEL,II
143,WING FLOATS DAMAGED ON LANDING  NOSE GAR DOOR LINKAGE HAD BROKEN CAUSING SHARP TURN,AU
144,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN,II
145,"EXPLOSION HEARD DURING ENGINE START, PILOT MISTOOK FOR BACKFIRE, BEGAN FLIGHT  LATER FOUND EXHAUST TUNNELS DAMAGED ",II
146,PILOT UNABLE TO GET THE NOSE WHEEL DOWN  A TOW BAR WAS WEDGED INTO THE WHEEL WELL,II
147,FORCED LANDING AFTER POWER LOSS  FOUND WATER IN FUEL,II
148,AIRCRAFT STRUCK DITCH WHILE TAXIING AT NIGHT WITHOUT TAXI LIGHT  BATTERY WAS TOO WEAK DUE TO GENERATOR FAILURE,AU
149,"WHILE TAXIING TO maintenance HANGAR, PILOT LOST NOSE WHEEL STEERING  WINGTIP HIT HANGAR, CAUGHT ON FIRE ",EQ
150,ENGINE SHUTDOWN DUE TO SMOKE FROM NACELLE  GEAR RETRACTED ON LANDING ROLLOUT,EQ
151,PILOT WAS AWARE OF EXCESSIVE WATER IN FUEL,II
152,AIRCRAFT HAD TOTAL ELECTRICAL FAILURE ON FINAL  GEAR PARTIALLY EXTENDED AND COLLAPSED ON TOUCHDOWN,EQ
153,GENERATOR SHORTING,EQ
154,aircraft STRUCK COM POLES & CONCRETE WALL & BURNED  NO ROD ASY PN1A2 FAILED FOR UNKN RSN,AU
155,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER,II
156,DMGD WING & AILERON DRG PREVIOUS LDG,AU
157,"ENGINE LOST POWER AFTER LIFTOFF, LANDED GEAR UP ON THE TAKEOFF RUNWAY  HAD BEEN TOPPED OFF WITH JET FUEL ",II
158,ENGINE QUIT AFTER LIFTOFF DUE TO WATER IN FUEL  LANDED ON REMAINING RUNWAY GEAR UP,II
159,AIRCRAFT FAILED TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE  STRUCK A FENCE AND WENT INVERTED,II
160,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST  BRAKES WERE INOPERATIVE ON CART,DE
161,RAN OFF SIDE OF TAXIWAY AT NIGHT  LANDING LIGHT INOPERATIVE,AU
162,FORCED LANDING IN FIELD AFTER ENGINE QUIT  FOUND ICE IN FUEL LINES,II
163,DIP STICK NOT PROPERLY SECURED  ENGINE SHUT DOWN DUE TO OIL LOSS  SINGLE GENERATOR FAILED DUE TO OVERLOAD,II
164,"LANDING IN FIELD DUE TO POWER LOSS, WATER IN FUEL SYSTEM  WATER CAME FROM A FUEL STORAGE TANK ",II
165,WHEELS LOCKED UP AFTER SEVERAL TOUCH AND GO LANDINGS DUE TO SNOW PACKED IN THE WHEEL PANTS,II
166,PILOT ASSUMED TANKS TO BE FULL  DID NOT CHECK  ONE ENGINE QUIT ON TAKEOFF DUE TO FUEL STARVATION,II
167,ENGINE FALURE FOLLOWED BY TOTAL ELECTRICAL FAILURE  BATTERY KNOWN TO BE BAD  FUEL CONTROL UNIT POOR CONDITION,AU
168,"ICY RAMP AND RUNWAY, PILOT FAILED TO RELEASE BRAKES  TIRES BLOWN ON LANDING ",II
169,"ENGINE FLAMED OUT DURING TAXI, APPROXIMATELY 6 QTS  OF WATER DRAINED FROM LEFT NACELLE AND BOOST PUMP ",II
170,ENGINE QUIT AFTER LIFTOFF  LANDED GEAR UP  FOUND WATER IN FUEL AND 3 FOULED SPARK PLUGS,II
171,ENGINE STOPPED DUE TO WATER IN ALL OF THE FUEL SYSTEM  LANDED ON THE AIRPORT,II
172,EMERGENCY LIFT-OFF AND GO AROUND DUE TO maintenance EQUIPMENT ON THE RUNWAY,AF
173,PILOT DISCOVERED HE HAD NO LEFT BRAKE DURING TAXI,II
174,RAN OUT OF OIL ON INSTRUCTIONAL FLIGHT  ENGINE FAILED INTERNALLY,II
175,WITNESS STATED 1IN ICE ON AIRCRAFT,II
176,R SKID HUNG UP ON right TIE DOWN STRAPS OF TRAILER,II
177,pilot SEL CERTIFICATED ELEVATOR GUST LOCK FOUND IN EARLY PART OF CRPATH BFR BREAK UP,II
178,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY,AF
179,"AS PILOT ATTEMPTED TURN ON TAXIWAY, WHEEL WENT INTO DITCH  NO BRAKES DUE TO INSUFFICIENT FLUID ",II
180,LANDING GEAR SELECTOR INADVERTENTLY LEFT IN UP POSITION  GEAR COLLAPSED ON TAKEOFF  GEAR WARNING HORN INOP,II
181,LOST DIRECTIONAL CONTROL ON ICY RUNWAY  RIGHT BRAKE MASTER CYLINDER WAS EMPTY  NOT SERVICED FOR 5 MONTHS,II
182,ENGINE QUIT DUE TO WATER IN THE FUEL  SOURCE OF CONTAMINATION WAS LOCAL STORAGE TANK,II
183,HEAVY FROST ON ACT AND ICE ON TRIM HINGES,II
184,"PILOT TOOK OFF WITH SNOW BLOWN IN THE ENGINE COMPARTMENT  SNOW MELTED, THEN FROZE UP THE THROTTLE LINKAGE ",II
185,"GUST LOCK FOUND ATTACHED TO right WING  SUB DMG TO CESSNA 172,N8107T ",II
186,HOOK RELEASE ELECTRICAL PLUG FOUND DISCONNECTED LOAD FROZEN TO THOUND,DE
187,FROST ON AIRCRAFT TURBOCHARGERS NOT USED ON takeoff,II
188,pilot RQSTD & CNTLR APPVD SPCL VFR CLRNCE AT NITE pilot NOT INST RTD TR SET 3005 VICE 2999,ME
189,BOTH GENERATOR CIRCUIT BREAKERS OUT PILOT DID NOT RESET BREAKERS TTEMPT MANUAL GEAR EXTENSION,ME
190,ELT IMPACT SWITCH INOP,II
191,PILOT LOST DIRECTIONAL CONTROL AFTER LOSING RIGHT BRAKE ON LANDING  VEERED OFF RUNWAY  BRAKE WORN OUT,II
192,"FORCED LANDING AFTER ENGINE QUIT, FOUND ICE IN FUEL STRAINER ",II
193,FORCED LANDING AFTER ENGINE QUIT  FOUND WATER IN FUEL,II
194,GRINDING NOISE WITH GEAR RETRACTION  NOSE GEAR PARTIALLY RETRACTED STRUT FLAT AND WHEEL CANTED,II
195,WHILE DEPARTING GATE JET BLAST CAUSED A BAGGAGE CART TO ROLL INTO B99 WHICH WAS FOLLOWING CLOSE BEHIND,DE
196,TAXIED INTO DRAINAGE DITCH AT NIGHT  LANDING LIGHT INOPERABLE,AU
197,PILOT TAXIED OFF RAMP AT NIGHT  LANDING LIGHT WAS BURNED OUT,AU
198,"NOSE WHEEL SANK DOWN IN HOLE ON RAMP, PROP STRUCK GROUND",AF
199,ZG FORCED LANDING AFTER ENGINE QUIT  FUEL SELECTOR WAS NOT POSITIONED PROPERLY,ME
200,PRECAUTIONARY LANDING MADE DUE TO LOW OVERCASE AND INSTRUMENT LIGHT INOPERATIVE,II
201,"LOUD NOISE DURING RETRACTION, NOSE GEAR COLLPASED ON LANDING  LOOSE NOSE GEAR DOOR JAMMED AND BROKE MECHANISM  ZK",II
202,ARMED FLARE GUN DISCHARGED IN CABIN AFTER FALLING FROM GLOVE BOX PILOT MADE EMERGENCY LANDING,II
203,"PILOT UNABLE TO CONTROL AIRCRAFT DURING TAKEOFF, DUE TO RESTRICTED STEERING AND FROST ",II
204,WITNESSES SAID THE PILOT DID NOT REMOVE SNOW FROM THE WINGS PRIOR TO TAKEOFF  AIRCRAFT FOUND DAYS LATER,II
205,"FAILED TO ASSURE SEAT WAS LOCKED STARTED ENGINE,SEAT SLID BACK PILOT WAS UNABLE REACH CONTROLS HIT PARKED aircraft ",II
206,FORWARD CARGO DOOR CAME OFF AFTER TAKEOFF  DOOR WAS NOT LATCHED,II
207,"ENGINE SUDDENLY STOPPED  FUEL SYSTEM FOUND TO BE CONTAMINATED WITH A COLORLESS, ODERLESS SUBSTANCE",II
208,ENGINE STOPPED ON CLIMB-OUT  MADE EMERGENCY CRASH LANDING  WATER IN FUEL,II
209,FORCED LANDING DUE TO ENGINE FAILURE  THE PILOT SAID WATER FOUND IN FUEL AND IN COMPANY OWNED FUEL TANKER,II
210,PILOT SAID THE ELEVATOR CONTROL JAMMED A PARACHUTE WAS FOUND BETWEEN THE REAR SEAT AND CONTROL STICK,II
211,INSTRUCTOR CHECKING OUT PILOT IN MULTIENGINE AIRPLANE  STUDENT FEATHERED WRONG ENGINE  EMERGENCY LANDING,EQ
212,ENGINE FAILED ON TAKEOFF  FOUND WATER IN FUEL TANKS,II
213,ATTEMPTED TAKEOFF AT 6700 FT ALTITUDE WITH FROST ON WINGS aircraft SETTLED ONTO ICE AND SNOW COVERED LAKE,II
214,PRECAUTIONARY LANDING WHEN ONE SIDE OF THE ENGINE COWL CAME OPEN DUE TO A LOOSE DZUS FASTENER,II
215,ACRFT WAS SERVICED 65 DAYS PRIOR TO ACCIDENT  HAD NOT BEEN FLOWN PRIOR TO DATE OF ACCIDENT  WATER FOUND IN FUEL,II
216,AFTER A FORCED LANDING ICE WAS FOUND IN GASCOLATOR AND IN FLEXIBLE HOSE BETWEEN AIR FILTER AND CARBURATOR,II
217,ENGINE FAILURE ON TAKEOFF  CONTAMINATED FUEL FOUND IN AIRCRAFT,II
218,PILOT ATTEMPTED TAKEOFF WITH OBSTRUCTION MAGAZINE BETWEEN RUDDER AND VERTICAL STABILIZER ZE,II
219,ENGINE STOPPED ON FINAL APPROACH  AIRCRAFT STRUCK GROUND SHORT OF RUNWAY  WATER IN FUEL,II
220,PILOT TOOK OFF WITH THE ENGINE NOT OPERATING PROPERLY  MUSHED BACK TO THE GROUND BEYOND THE RUNWAY,AU
221,FCD LDG AT NIGHT  HARD LDG ON APT  FUEL STAINS FOUND FROM WING DRAINS TO FUSELAGE  LESS THAN 2 GALS FUEL ONBOARD,II
222,ENGINE STOPPED ON EMPTY TANK DURING ILS APPROACH  WOULD NOT START ON FULL TANK  WATER IN FUEL CRASHED SHORT OF RWY,II
223,"CARGO DOOR CAME OPEN IN FLIGHT  AFTER LANDING,THE DOOR WAS PROPERLY LATCHED  THE FAILURE COULD NOT BE DUPLICATED ",II
224,ENGINE QUIT SOON AFTER TAKEOFF  WATER AND DEBRIS FOUND IN THE FUEL SYSTEM,II
225,WINDSHIELD FOGGED UP DUE TO INOP HEATER  LANDED LONG AFTER APPROACH AND RAN OFF DEPARTURE END OF RUNWAY,AU
226,AIRCRAFT CRASHED ON FIRST TEST FLIGHT AFTER REBUILDING  AILERON CONTROLS REVERSED,II
227,ENGINE QUIT LEVEL FLIGHT  LEFT TANK EMPTY AND ICE IN RIGHT TANK  GAS SEDIMENT BOWL WOULD NOT DRAIN,II
228,PILOT TOOK OFF WITH GUST LOCK IN PLACE,II
229,AIRCRAFT FAILED TO LIFTOFF RUNWAY  RAN OFF END INTO SNOW BANK  FROST ON AIRFRAME,II
