,0
"NARRATIVE: ON MARCH , 1995, N7016M, AN AMATEUR BUILT AIRCRAFT, MADE AN EMERGENCY OFF AIRPORT LANDING NEAR THE BLOOMINGTON, ILLINOIS AIRPORT  THE AIRCRAFT WAS PILOTED BY A PRIVATE PILOT  VISUAL METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME  THE AIRCRAFT RECEIVED ONLY MINOR DAMAGE TO THE NOSE GEAR  THE PILOT WAS NOT INJURED  THE FLIGHT ORIGINATED AT BLOOMINGTON, ILLINOIS WITH THE INTENDED DESTINATION OF LINCOLN, ILLINOIS  THIS INCIDENT IS CLOSED WITH THIS REPORT ",1
"NARRATIVE: DEPARTED AIRPORT AT 0530 IN DARKNESS  AT 1000' AGL ATTEMPTED TO TURN OFF LANDING LIGHT BUT SWITCHED OFF ELECTRICAL MASTER BY MISTAKE  MANUALLY EXTENDED GEAR AT 100 KIAS VS  87 MAX KIAS  DUE TO NO ELECTRICAL POWER, COULD NOT EXTEND GEAR ELECTRICALLY OR OPERATE RADIOS  PILOT WAS IN A HURRY TO LAND PLANE BEFORE TIMED AIRPORT LIGHTS TURNED OFF  MISMANAGED MASTER ELECTRICAL SWITCH  IMPROPER EMERGENCY CHECK LIST USE ",1
TEST FLIGHT  LOST POWER  HAD HISTORY COMPRESSOR STALLS  DEFERRED INSPECTION  ENGINE STALLED  STATOR VANES ERRODED ,1
FAA ASI GIVING BIENNIAL NOT CURRENT IN TYPE WAS FLYING UNAWARE RIGHT THROTTLE COLLECTIVE REMOVED  MADE HARD LANDING,1
RAN OUT OF FUEL AT NIGHT ON FINAL  STRUCK APPROACH LIGHTS  SEVERED A WING  LEFT FUEL CAP MISSING  SIPHONED FUEL ,1
FRONT BAGGAGE DOOR OPEN ON TAKEOFF  OBSERVED BY PILOT ON CLIMBOUT  RETURNED  STRUCK POLES STEEP TURN FOR LANDING ,1
maintenance TEST FLIGHT  FUEL TRANSFER PUMP SHUT OFF TO CHECK FLOAT  NO RESTART  NO FUEL  CRASHED FLOAT SHOWED FULL,1
NO BRAKE ON LANDING  TURNED OFF RUNWAY AVOID OVERRUM  STRUCK SIGN AND DITCH LEAKY BRAKE CYLINDER  LOST ALL FLUID ,1
PRACTICE DEPARTURE STALL  RAISED GEAR  BURN SMELL  UNABLE EXTEND  USED MANUAL GEAR MOTOR ON  LANDED GEAR DOWN ,1
HEARD LOUD BANG ENROUTE DIVERTED TO PITTSBURGH CARGO DOORS SEPARATED INDICATES DOOR NOT SECURED PRIOR TO FLIGHT ,1
AFT CARGO DOOR OPENED DURING TAKEOFF  LOST BAGGAGE  RETURNED  DOOR FRAME BENT  NOT PROPERLY CLOSED AND LOCKED ,1
ACCIDENTLLY TURNED OFF IGNITION EN ROUTE  UNABLE RESTART  STRUCK TREES LANDING ,1
BATTERY COMPARTMENT DOOR CAME OPEN DURING LANDING ANTENNA ON DOOR PUNCHED HOLE IN WINDSHIELD ,1
ROUGH ENGINE AFTER DEPARTING  TURNED BACK  ENGINE SURGING  DESCENDED INTO TREES  WATER AND ICE IN FUEL ,1
VFR NOT ADVISED  LOW IFR TIME AND KNOWN INOP VACUMM PUMP PROCEEDED INTO IMC  LOST CONTROL  CRASHED ,1
ENGINE QUIT ON CLIMBOUT  LANDED FARM FIELD  FUEL LINE IN WING CRUSHED BY FOLDING WING  LINE NOT INSPECTED PREFLIGHT,1
ENGINE QUIT ON CLIMBOUT  MADE 180  LANDED SAFE ON GRASS  WATER IN FUEL DUE TO FUEL TANK SENDING UNIT SEAL LEAKING ,1
TAXIED FOR TAKEOFF WITH TOWBAR ATTACHED  WARNED BY TOWER TOO LATE  TOWBAR HIT PROP  ADDED REMOVE TOWBAR TO CK LIST ,1
ENGINE QUIT  MADE EMERGENCY LANDING ON AIRPORT  ICE PARTICLES IN FUEL CAUSED CARBURETOR NEEDLE VALVE TO STICK OPEN ,1
"NARRATIVE: WHILE ENROUTE FROM LGA TO MIA, CREW DETECTED A VIBRATION DURING ALL PHASES OF FLIGHT  CREW REPORTED THE VIBRATION INCREASED RELATIVE TO THE INCREASE IN AIRSPEED  CREW ELECTED TO DIVERT TO RDU TO HAVE maintenance INSPECT THE AIRCRAFT FOR THE NOTED VIBRATION  AIRCRAFT LANDED AT RDU WITHOUT FURTHER INCIDENT  maintenance INSPECTED THE AIRCRAFT AND FOUND THE EXTERNAL POWER PANEL DOOR UNSECURED  maintenance INSPECTED THE LATCHING MECHANISM AND FOUND NO APPARENT DEFECT  maintenance FURTHER PERFORMED THE OVER-WEIGHT INSPECTION AND RELEASED THE AIRCRAFT TO SERVICE ",1
LANDED SHORT OF RUNWAY DARK SNOW NIGHT  ICE ON AIRCRAFT  SPOTILERS OUT  POOR COCKPIT MANAGEMENT  SPOILER LIGHT ON ,1
NOSE BAGGAGE DOOR CAME OPEN ON LIFTOFF  ADDED AND REDUCED POWER THREE TIMES THEN TRIED NOSE HIGH RETURN HIT POLE ,1
FORGOT TO RAISE AMPHIBIOUS LANDING GEAR TO LAND ON WATER  NOSED OVER ,1
"LOW ROTOR RPM DEMO  AIRCRAFT BEGAN UNCOMMANDED TURN  LANDED HARD, BOUNCED  LEFT ANTITORQUE CABLE BROKE DUE WEAR ",1
LOCAL SURVEY FLIGHT  LOST TAIL ROTOR CONTROL  SPUN TO IMPACT  TAIL ROTOR SEPERATED WHEN FOULED BY LOOSE SURVEY TAPE,1
FAILED UNTIE MAIN ROTORS PRIOR STARTUP  BLADE FAILED  HELICOPTER JUMPED UP  SHUTDOWN  SEVERE DAMAGE ON IMPACT ,1
REPORTED POWER LOSS  LOST ELECTRICS  BELEIVED LOW ON FUEL  LANDED GEAR UP ON ROAD  ENGINES RUNNING  BATTERY PROBLEM,1
"GLIDER COLLIDED WITH GROUND AFTER TOW, LOST POWER ON TAKEOFF  THE GLIDER PILOT STATED THAT AFTER HE COMPLETED HIS PREFLIGHT IN PREPARATION FOR LAUNCH, HE SECURED HIMSELF IN THE GLIDER AS THE TOW ROPE WAS CONNECTED  HOWEVER, HE COULD NOT RECALL ANY OF THE EVENTS THAT FOLLOWED, CONCERNING THE TAKEOFF ROLL OR ACCIDENT  THE TOW PILOT REPORTED THAT AFTER THE GLIDER WAS HOOKED UP TO THE TOW PLANE, A SIGNAL WAS PROVIDED TO BEGIN THE TAKEOFF ROLL  WITNESSES STATED THAT AS THE TOW AIRPLANE BEGAN THE TAKEOFF ROLL, THE GLIDER WAS HAVING DIRECTIONAL CONTROL PROBLEMS  THE TOW AIRPLANE LIFTED OFF AND CLIMBED ABOUT 50 TO 60 FEET ABOVE THE GROUND  THE TOW PILOT SAID THAT AT ABOUT THAT TIME, HE NOTED EXCESSIVE DRAG AND THE TOW AIRPLANE'S TAIL WAS PULLED DOWN DESPITE HIS USE OF FULL FORWARD ELEVATOR  SUBSEQUENTLY, THE GLIDER CARTWHEELED AND FLIPPED OVER, THE TOW ROPE FAILED, AND THE TOW AIRPLANE STALLED AND IMPACTED THE GROUND  POSTACCIDENT EXAMINATION REVEALED THE GLIDER'S RIGHT RUDDERVATOR WAS LOOSE AND WAS NOT PROPERLY CONNECTED TO THE PUSH-PULL TUBE  THE GLIDER PILOT STATED THAT HE DID NOT RECALL, BUT HE PROBABLY DID NOT DO A POSITIVE CONTROL CHECK OF THE RUDDERVATORS BEFORE THE              LAUNCH  A WITNESS SAID HE OBSERVED THE GLIDER PILOT CLIMB INTO THE GLIDER'S COCKPIT AND WORK THE CONTROL STICK TO VERIFY AILERON AND RUDDERVATOR CONTROL, BUT HE DID NOT DO A POSITIVE CONTROL CHECK DURING HIS PREFLIGHT ",1
LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE  ROLLED BOTH WAYS  SPIRAL TO IMPACT  NEGLECTED TO CONNECT RIGHT AILERON ,1
"TOWING GLIDER, COLLIDED WITH GROUND AFTER TOW AIRCRAFT LOST POWER ON TAKEOFF  THE GLIDER PILOT STATED THAT AFTER HE COMPLETED HIS PREFLIGHT IN PREPARATION FOR LAUNCH, HE SECURED HIMSELF IN THE GLIDER AS THE TOW ROPE WAS CONNECTED  HOWEVER, HE COULD NOT RECALL ANY OF THE EVENTS THAT FOLLOWED, CONCERNING THE TAKEOFF ROLL OR ACCIDENT  THE TOW PILOT REPORTED THAT AFTER THE GLIDER WAS HOOKED UP TO THE TOW PLANE, A SIGNAL WAS PROVIDED TO BEGIN THE TAKEOFF ROLL  WITNESSES STATED THAT AS THE TOW AIRPLANE BEGAN THE TAKEOFF ROLL, THE GLIDER WAS HAVING DIRECTIONAL CONTROL PROBLEMS  THE TOW AIRPLANE LIFTED OFF AND CLIMBED ABOUT 50 TO 60 FEET ABOVE THE GROUND  THE TOW PILOT SAID THAT AT ABOUT THAT TIME, HE NOTED EXCESSIVE DRAG AND THE TOW AIRPLANE'S TAIL WAS PULLED DOWN DESPITE HIS USE OF FULL FORWARD ELEVATOR  SUBSEQUENTLY, THE GLIDER CARTWHEELED AND FLIPPED OVER, THE TOW ROPE FAILED, AND THE TOW AIRPLANE STALLED AND IMPACTED THE GROUND  POSTACCIDENT EXAMINATION REVEALED THE GLIDER'S RIGHT RUDDERVATOR WAS LOOSE AND WAS NOT PROPERLY CONNECTED TO THE PUSH-PULL TUBE  THE GLIDER PILOT STATED THAT HE DID NOT RECALL, BUT HE                                                                         PROBABLY DID NOT DO A POSITIVE CONTROL CHECK OF THE RUDDERVATORS BEFORE THE LAUNCH  A WITNESS SAID HE OBSERVED THE GLIDER PILOT CLIMB INTO THE GLIDER'S COCKPIT AND WORK THE CONTROL STICK TO VERIFY AILERON AND RUDDERVATOR CONTROL, BUT HE DID NOT DO A POSITIVE CONTORL CHECK DURING HIS PREFLIGHT ",1
DURING FUELING HELICOPTER  WALKED AWAY  FAILED REMOVE HOSE  THEN TRIED TAKE OFF HOSE ATTACHED  HIT PARKED PICKUP ,1
GROUND LOOPED DURING DOWNWIND TAKEOFF AT EAA CONVENTION  FAILED TO LOCK TAILWHEEL  STOPPED IN A DITCH ,1
FAILED RAISE FLAPS ON TOUCH AND GO  UNCABLE CLIMB  CFI TOOK OVER  ABORTED DUE TREES OFF END  NOSED OVER LANDING ,1
LOST RADIO CONTACT 10 MILES OUT  SQAWKED 7500 IN ERROR  LANDED IKK  MET BY POLICE  GENERATOR FAILED ,1
LOST POWER ON CLIMBOUT  LANDED IN TREES  NO OIL  DIPSTICK NOT INSTALLED  ENGINE SHOWED POOR maintenance ,1
LOST POWER LANDED HARD IN ROUGH WATER  DAMAGED FLOATS AND LONGERON  WATER IN FUEL  MISREAD WATER IN SUMP TO BE FUEL,1
"LOST POWER BOTH ENGINES  CLEARED FENCE, DITCH AND TREES  SETTLED OPEN FIELD  RAN INTO TREES  WATER, DIRT IN FUEL ",1
STRUCK A DEER ON LANDING ROLLOUT  COLLAPSED NOSE GEAR  SUDDEN ENGINE STIPPAGE  ANIMAL CONTROL INADEQUATE ,1
POWER START DUE DEPLETED BATTERY  SMELLED SHORT EN ROUTE PULLED FUSE CRANKED GEAR COLLAPSED LANDING  NO SHORT FOUND,1
ELECTRICAL SYSTEM EMERGENCY  LANDED AT BETH PAGE INSTEAD FRG  APPARENTLY FAILED TO TURN ON ALTERNATORS ,1
"NARRATIVE: THE PILOT OF CESSNA 207, N19U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RUNNING  THE PILOT MADE AN EMERGENCY LANDING ON A FROZEN, OPEN AREA APPROXIMATELY 1/2 MILE FROM THE END OF RUNWAY 31  THERE WERE NO INJURIES AND THE AIRCRAFT RECEIVED NO DAMAGE  INVESTIGATION REVEALED THAT THE ENGINE STOPPED RUNNING DUE TO FUEL CONTAMINATION IN THE AIRCRAFT'S RIGHT FUEL TANK AND GASCOLATOR  PRIVACY DATA OMITTED",1
FAILED ACCELERATE ON TOW  PILOT RELEASED GLIDER  ABORTED TAKEOFF  GLIDER GROUND LOOPED  SPEED BRAKES WERE STILL ON ,1
CARGO DOOR CAME OPEN ON TAKEOFF  MANUEVERED LAND ON RAMP BAGGAGE FELL OUT INJESTED BY ENGINE  30 DAY GROUND BY CO ,1
AFTER DEPARTING HIGH OIL TEMP  LANDED OFF AIRPOR  SHEARED MAIN GEAR  FOUND LOW ON OIL ,1
BOUNCED LANDING  TRIED GO AROUND WITH IDLE POWER  OVERFLEW RUNWAY INTO MARSH  UNFAMILIAR WITH VERNIER THROTTLE ,1
FAILED TO SEPARATE GROUND DOLLY  ON LIFTOFF REALIZED DOLLY STILL ATTACHED  ABORTED  ROLLED  CHOPPED TAIL AND BURNED,1
"NARRATIVE: AFTER TAKE-OFF FROM WAINWRIGHT AS, AK  WITH 2 PASSENGERS, THE REAR CARGO DOOR CAME OPEN AT APPROX  70 FT  AGL THE PILOT FLEW AROUND THE PATTERN AND LANDED WITHOUT FURTHER INCIDENT  DURING THE INTERVIEW THE PILOT STATED SHE HAD CLOSED THE DOOR AND LATCHED IT HERSELF AND IT APPEARED PROPERLY LATCHED  THE DOOR AND AFT FUSELAGE SUSTAINED MINOR DAMAGE  THE AIRCRAFT WAS FERRIED TO BRW FOR REPAIR  UPON INSPECTION THE DOOR CLOSED NORMALLY AND THE LATCH MECHANISM WORKED FINE  HOWEVER THE DOOR WAS REPLACED  THE PILOT STATED SHE DID NOT REMEMBER IF SHE ACTUALLY LOOKED AT THE UPPER & LOWER LATCHES PRIOR TO TAKE OFF  SUBSEQUENTLY THE INVESTIGATION FOUND THE PILOT HAD EXCEEDED THE FLIGHT TIME LIMITATIONS OF 135 267B DURING THIS FLIGHT  PRIVACY DATA OMITTED",1
RIGHT MAIN GEAR COLLAPSED LANDING  PRIO GEAR CHECK WAS ADVISED GEAR WORK NEEDED BUT DECLINED SHOWED HARD LANDINGS ,1
"NARRATIVE: ON MARCH 20, 1995, A PITTS, PIS-1, OWNED AND OPERATED BY ROBERT HIGBEE WHILE ON A PLEASURE FLIGHT, LANDED AT BUTTE, MT VEERED OFF THE RUNWAY AND TIPPED UP ON ITS NOSE  VISUAL FLIGHT CONDITION PREVAILED AND NO FLIGHT PLAN WAS FILED  THE AIRCRAFT DAMAGE WAS LIMITED TO THE PROPELLER AND NO INJURIES RESULTED  THE PILOT HOLDS A PRIVATE PILOT CERTIFICATE; AIRPLANE SINGLE ENGINE LAND, INSTRUMENT RATING AND COMMERCIAL PRIVILEGES, GLIDER  THE FLIGHT ORIGINATED AT MISSOULA, MT ON MARCH 20, 1995 AT ABOUT 30 MOUNTAIN TIME  INSPECTION OF THE WHEELS AND BRAKES BY A CERTIFICATED AIRCRAFT MECHANIC REVEALED THE WHEEL PANTS AND BRAKE ASSEMBLIES WERE FULL OF MUD AND DIRT  THE BRAKES HAD TO BE PRIED APART FOR INSPECTION  THIS INVESTIGATION AND REPORT ARE CLOSED ",1
TRIED TO TAKEOFF FROM TRAILOR WITHOUT REMOVING SHIPPING BLOCK  LOST CONTROL ROLLED OVER ,1
"NARRATIVE: ON /12/95 A DC-6-B, 390F OPERATED BY EVERTS AIR FUEL INC , DEPARTED THE RAMP AT FAIRBANKS INT'L AFTER FUELING THE INTERNATIONAL BULK FUEL TANKS THE AIRCRAFT WAS SET UP AS A FUEL TANKER  THE BULK FUEL LOADING HOSE ATTACHED TO THE REAR OF THE AIRCRAFT SINGLE POINT RECEPTACLE WAS NOT DISCONNECTED BY THE CREW  THIS RESULTED IN THE HOSE RIPPING THE SINGLE POINT RECEPTACLE FROM THE AIRCRAFT AND A 600 GAL  FUEL SPILL DURING TAXI OUT  THE CREW WAS NOT AWARE OF THE PROBLEM UNTIL COMPLETING THEIR 2 HOUR FLIGHT ",1
ON TAKEOFF PLANNED 180 PIVET PRIOR HOVERING  DURING PIVOT ROTATED 70 DEGREES LEFT  PITCHED UP  TIEDOWN ATTACHED ,1
STARTED ENGINE AND FORGOT TO UNTIE MAIN ROTOR BLADE  BLADE BROKE OFF AT 60 PERCENT POWER ,1
"NARRATIVE: COMA 280, DEPARTED CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT, COVINGTON, KENTUCKY, 1000 LOCAL ENROUTE TO EVANSVILLE, INDIANA, AFTER TAKE-OFF, THE FLIGHT CREW SELECTED THE LANDING GEAR TO THE UP POSITION  THE LANDING GEAR DID NOT RETRACT  COMA 280 RETURNED TO AIRPORT AND RETURNED TO GATE  THE MAIN LANDING GEAR SAFETY PINS WERE REMOVED AND THE FLIGHT CONTINUED TO EVANSVILLE, INDIANA WITHOUT FURTHER INCIDENT ",1
CARGO OF PALLETS SHIFTED AFT ON TAKEOFF  STRUCK AFT BULKHEAD  ABORTED PALLET CAME FORWARD INTO FRONT RETAINER WALL ,1
TURNED ON AIRCRAFT GASOLINE HEATER TAXIING OUT  ADVISED SMOKE FROM NOSE  TURNED HEAT OFF  STARTED HEAT IMPROPERLY ,1
DURING ANNUAL RELEASED UNSIGNED FOR CHARTER  ROLLED OVER ON CLIMBOUT  BURNED  RIGHT PROP FEATHERED  NO 135 LISCENSE,1
ENGINE QUIT AFTER REFUELING  LANDED RICE FIELD  FOUND WATER IN FUEL  REMOVED ENGINE FOR HARD LANDING CHECK ,1
"NARRATIVE: PILOT PERFORMED PREFLIGHT AND TAXIED TO RUN UP AREA  FLAPS WOULD NOT OPERATE  PILOT TAXIED BACK TO HANGAR  HAND TOW BAR WAS USED TO POSITION AIRCRAFT  THIS WAS LEFT ON AIRCRAFT  FOLLOWING REPAIRS TO FLAPS, PILOT AND PASSENGER STARTED ENGINE, TAXIED AND DEPARTED WITH THE TOW BAR STILL ON NOSE GEAR  GROUND PERSONNEL NOTICED AND NOTIFIED ATC  PILOT WAS ADVISED THAT THE TOW BAR WAS STILL ON NOSE GEAR  PILOT RETURNED TO NAS JAX AND MADE AN UNEVENTFUL LANDING WITH THE TOW BAR ATTACHED  PILOT COUNSELED ON PROPER PREFLIGHT PROCEDURES  THIS INCIDENT IS CLOSED ",1
FAILED TO SECURE  CANOPY OPENED ON LIFTOFF  PITCHED UP  PULLED CANOPY DOWN  LOST CONTROL  HIT GROUND  FLIPPED OVER ,1
2 TAKEOFF ABORTS AUTO THROTTLE FAILED ENGAGE TAKEOFF EPR NOT PROGRAMED IN TO FMC CHECK LIST IMPROPERLY PERFORMED ,1
